angle,time
0.10256,0.015787839889526367
0.08323,0.031214475631713867
0.06399,0.04706764221191406
0.0424,0.06267213821411133
0.02319,0.08451676368713379
0.00165,0.09423589706420898
-0.01754,0.11006426811218262
-0.03669,0.14110517501831055
-0.05584,0.15675926208496094
-0.07746,0.1724843978881836
-0.09668,0.18843293190002441
-0.11598,0.2042675018310547
-0.13529,0.21988749504089355
-0.15471,0.23551368713378906
-0.17415,0.2511250972747803
-0.19128,0.26674604415893555
-0.21089,0.28507065773010254
-0.22818,0.3137037754058838
-0.24551,0.32932472229003906
-0.26294,0.34497928619384766
-0.28051,0.36078810691833496
-0.29814,0.3764188289642334
-0.31335,0.39246392250061035
-0.32871,0.40808892250061035
-0.34154,0.42371129989624023
-0.35702,0.4395439624786377
-0.37006,0.4551680088043213
-0.38313,0.47077083587646484
-0.39366,0.4870171546936035
-0.40423,0.5182642936706543
-0.41486,0.5339193344116211
-0.42289,0.5495414733886719
-0.43094,0.565345287322998
-0.43898,0.5850019454956055
-0.44441,0.5972278118133545
-0.4471,0.6130614280700684
-0.44985,0.628685712814331
-0.45261,0.6443033218383789
-0.45261,0.6599240303039551
-0.45261,0.6852641105651855
-0.44997,0.7069337368011475
-0.44727,0.7225546836853027
-0.44457,0.7381770610809326
-0.4392,0.753831148147583
-0.43384,0.7696552276611328
-0.42577,0.7853937149047852
-0.41513,0.8012571334838867
-0.40719,0.8168699741363525
-0.3966,0.8324782848358154
-0.38611,0.8480994701385498
-0.37303,0.8636832237243652
-0.36002,0.895125150680542
-0.34708,0.9107840061187744
-0.33171,0.9264051914215088
-0.31639,0.9422271251678467
-0.30115,0.9578344821929932
-0.28601,0.9734511375427246
-0.26845,0.9897186756134033
-0.25099,1.0055580139160156
-0.23363,1.0211730003356934
-0.2163,1.0367941856384277
-0.19911,1.0678305625915527
-0.17955,1.0834522247314453
-0.1625,1.0995056629180908
-0.14305,1.115142583847046
-0.12372,1.1309537887573242
-0.10444,1.146576166152954
-0.08516,1.16219162940979
-0.06596,1.18562912940979
-0.04679,1.1936430931091309
-0.02759,1.2094643115997314
-0.00845,1.2251009941101074
0.01074,1.240703821182251
0.02994,1.2717535495758057
0.04912,1.2874996662139893
0.07077,1.3031611442565918
0.08762,1.3189752101898193
0.10692,1.3346004486083984
0.12632,1.3502089977264404
0.14574,1.3656115531921387
0.16529,1.3859655857086182
0.18243,1.397695541381836
0.19964,1.4135477542877197
0.21945,1.4289772510528564
0.23685,1.4471607208251953
0.25434,1.4629859924316406
0.26946,1.4943287372589111
0.28715,1.5099921226501465
0.30241,1.5258033275604248
0.3178,1.5412003993988037
0.33067,1.5568203926086426
0.34619,1.5724596977233887
0.35667,1.604107141494751
0.36975,1.604107141494751
0.38291,1.6197266578674316
0.39346,1.6353492736816406
0.40411,1.65118408203125
0.41214,1.6822106838226318
0.42021,1.6979408264160156
0.42563,1.7135899066925049
0.4337,1.7294232845306396
0.43644,1.7450342178344727
0.44185,1.7606642246246338
0.44456,1.7867908477783203
0.44461,1.7925305366516113
0.44461,1.80836820602417
0.44461,1.8239824771881104
0.4419,1.8550214767456055
0.4392,1.8706450462341309
0.4338,1.886805534362793
0.42841,1.9025535583496094
0.42304,1.9183802604675293
0.41234,1.933990478515625
0.4043,1.9496197700500488
0.39635,1.9652681350708008
0.38315,1.9870812892913818
0.37004,1.9967994689941406
0.35955,2.012636184692383
0.34398,2.0436692237854004
0.33104,2.059291362762451
0.31817,2.0749435424804688
0.30282,2.090881824493408
0.28756,2.106703519821167
0.27238,2.1223208904266357
0.25479,2.137921094894409
0.23729,2.1534061431884766
0.22232,2.1692090034484863
0.20253,2.187544345855713
0.1853,2.2007713317871094
0.16815,2.216606378555298
0.14864,2.247640371322632
0.1292,2.2632923126220703
0.11224,2.2791154384613037
0.09293,2.295067310333252
0.07363,2.3109207153320312
0.05441,2.3265562057495117
0.03757,2.342172145843506
0.01598,2.357778310775757
-0.00078,2.3733866214752197
-0.02231,2.3893423080444336
-0.0415,2.420590877532959
-0.05828,2.4362123012542725
-0.07746,2.451866865158081
-0.09432,2.4674532413482666
-0.11357,2.488081932067871
-0.13051,2.499297857284546
-0.14987,2.515127182006836
-0.16691,2.530747890472412
-0.18397,2.5463671684265137
-0.20359,2.5619568824768066
-0.21834,2.587984800338745
-0.23567,2.593531370162964
-0.25056,2.6247782707214355
-0.26801,2.640432596206665
-0.2806,2.6562561988830566
-0.29572,2.6718719005584717
-0.31092,2.6881940364837646
-0.32621,2.703429698944092
-0.33647,2.7192695140838623
-0.34939,2.73488712310791
-0.35976,2.750500440597534
-0.37017,2.7815418243408203
-0.38063,2.79726505279541
-0.38852,2.8128936290740967
-0.39644,2.8285458087921143
-0.4017,2.8443472385406494
-0.40703,2.8599624633789062
-0.41502,2.8755836486816406
-0.41767,2.8915066719055176
-0.42039,2.9073328971862793
-0.42305,2.922757863998413
-0.42305,2.938408374786377
-0.42305,2.9541966915130615
