angle,time
0.39532,0.016901254653930664
0.39003,0.031215906143188477
0.38208,0.04674839973449707
0.37159,0.06293272972106934
0.36375,0.08061599731445312
0.35334,0.09712719917297363
0.3404,0.11405491828918457
0.33005,0.13051962852478027
0.31723,0.14809727668762207
0.30447,0.16343069076538086
0.29173,0.18062686920166016
0.2791,0.1962296962738037
0.26397,0.2140061855316162
0.25146,0.23107314109802246
0.23651,0.24762868881225586
0.22159,0.26436805725097656
0.20678,0.28169941902160645
0.19198,0.29824185371398926
0.17484,0.31848669052124023
0.15777,0.3352513313293457
0.14073,0.3513362407684326
0.12378,0.37003016471862793
0.10688,0.3853297233581543
0.08758,0.40164852142333984
0.07077,0.41910314559936523
0.05156,0.436460018157959
0.03242,0.4522664546966553
0.01808,0.4690361022949219
-0.00107,0.4854888916015625
-0.01779,0.5025656223297119
-0.03451,0.5196793079376221
-0.05362,0.5361404418945312
-0.06801,0.5535948276519775
-0.08234,0.5701167583465576
-0.09668,0.5838050842285156
-0.11606,0.6001415252685547
-0.13292,0.6197574138641357
-0.14987,0.6372692584991455
-0.16682,0.6538984775543213
-0.1814,0.6710247993469238
-0.19852,0.687065839767456
-0.21321,0.7056803703308105
-0.22795,0.7206344604492188
-0.2402,0.7375431060791016
-0.25506,0.7536282539367676
-0.27004,0.7710881233215332
-0.28505,0.7872302532196045
-0.29766,0.8056492805480957
-0.31029,0.8218061923980713
-0.32034,0.838242769241333
-0.32802,0.8549768924713135
-0.33573,0.8724231719970703
-0.35127,0.8880884647369385
-0.359,0.905573844909668
-0.36676,0.9223723411560059
-0.37195,0.938385009765625
-0.3772,0.9552183151245117
-0.38242,0.9733741283416748
-0.38764,0.9881653785705566
-0.39026,1.0071618556976318
-0.39288,1.0222580432891846
-0.39288,1.039137363433838
-0.39551,1.0554535388946533
-0.39546,1.072920560836792
-0.39283,1.0886671543121338
-0.39283,1.1074016094207764
-0.38222,1.1225903034210205
-0.37951,1.1406593322753906
-0.37426,1.1560354232788086
-0.36647,1.1738793849945068
-0.35876,1.189936637878418
-0.34845,1.2071630954742432
-0.34085,1.2245149612426758
-0.33834,1.240687370300293
-0.32812,1.2572569847106934
-0.31536,1.2739171981811523
-0.30523,1.2900910377502441
-0.29258,1.3083715438842773
-0.28004,1.3241140842437744
-0.26501,1.340522289276123
-0.25258,1.3572125434875488
-0.23768,1.3744089603424072
-0.22535,1.3906183242797852
-0.21062,1.4074599742889404
-0.18844,1.4243412017822266
-0.17614,1.441619873046875
-0.164,1.458167552947998
-0.15194,1.4756247997283936
-0.13744,1.4915213584899902
-0.12057,1.5089101791381836
-0.10611,1.5247392654418945
-0.08679,1.5435514450073242
-0.0652,1.560204029083252
-0.04006,1.5748088359832764
-0.04006,1.590331792831421
-0.0056,1.6054503917694092
0.00873,1.6225006580352783
0.02545,1.6405763626098633
0.03741,1.657264232635498
0.06143,1.673509120941162
0.0759,1.6896321773529053
0.09032,1.7066278457641602
0.10223,1.722442626953125
0.11669,1.7391679286956787
0.13366,1.7563574314117432
0.14821,1.7732079029083252
0.16285,1.789682388305664
0.17749,1.8057873249053955
0.19465,1.8273422718048096
0.20945,1.8440184593200684
0.22428,1.8610095977783203
0.23917,1.8763840198516846
0.25163,1.892486333847046
0.26418,1.9083845615386963
0.27675,1.9262328147888184
0.28937,1.9450504779815674
0.3021,1.9608728885650635
0.31233,1.9786124229431152
0.32252,1.9934189319610596
0.33284,2.0100677013397217
0.34053,2.0261988639831543
0.34829,2.0423147678375244
0.35607,2.0591094493865967
0.36128,2.07507061958313
0.36649,2.092350959777832
0.37172,2.1072943210601807
0.37434,2.1264352798461914
0.37696,2.141855478286743
0.37959,2.1590774059295654
0.38222,2.175600290298462
0.38217,2.192379951477051
0.37954,2.2093312740325928
0.37954,2.2255778312683105
0.3743,2.2425899505615234
0.37168,2.2600271701812744
0.36645,2.2764081954956055
0.36132,2.2919042110443115
0.35356,2.309467315673828
0.34838,2.3265018463134766
0.33799,2.3437082767486572
0.33022,2.3592967987060547
0.32243,2.3768863677978516
0.31216,2.393367290496826
0.30197,2.411518096923828
0.28924,2.4275424480438232
0.27662,2.4446351528167725
0.26401,2.460554361343384
0.2515,2.478452205657959
0.239,2.4938528537750244
0.22411,2.5116491317749023
0.21175,2.527113914489746
0.19693,2.5443003177642822
0.18222,2.56219744682312
0.16752,2.593775749206543
0.15291,2.631359815597534
0.1383,2.638855218887329
0.12136,2.6398510932922363
0.10688,2.673907518386841
0.08999,2.6810202598571777
0.07557,2.6891236305236816
0.05879,2.7188303470611572
0.04198,2.7279269695281982
0.03007,2.7392969131469727
0.01577,2.756484270095825
0.00383,2.7632102966308594
-0.04006,2.7925894260406494
-0.04006,2.7963626384735107
-0.04007,2.8419837951660156
-0.07754,2.8593084812164307
-0.0992,2.8765997886657715
-0.11847,2.887237548828125
-0.13296,2.904897451400757
-0.14991,2.9143197536468506
-0.16444,2.9318714141845703
-0.17901,2.947094202041626
-0.19363,2.9636242389678955
-0.2059,2.9800148010253906
-0.21816,3.0393455028533936
-0.23293,3.0472285747528076
-0.25773,3.052938938140869
-0.27018,3.0670082569122314
-0.28018,3.0808122158050537
-0.29277,3.0975003242492676
-0.30285,3.114086151123047
-0.31297,3.131702423095703
-0.32058,3.149947166442871
-0.32822,3.164762020111084
-0.33587,3.1812260150909424
-0.34099,3.1990997791290283
-0.34617,3.2151570320129395
-0.35132,3.231250524520874
-0.35647,3.2482798099517822
-0.359,3.265181541442871
-0.36159,3.281456470489502
-0.36417,3.2994983196258545
-0.36417,3.3155620098114014
