"Constrain_x: [-640.0, 640.0, -0.8, 0.8], Constrain_y: [-1.5, 1.5, -0.3, -1.4], " "start pos 35 grade start vinkel y = -15cm z = -35cm"
"Kp_x:0.5, Kp_y:0.5, Kd_x:0.1, Kd_y:0.1"
Time,X,Y
0.0,10.0,-0.3480000019073486
0.046907901763916016,14.0,-0.4148000359535218
0.07857918739318848,19.0,-0.48020005226135254
0.10979938507080078,23.0,-0.5446000456809998
0.1410508155822754,29.0,-0.6016000509262085
0.1732010841369629,32.0,-0.6416000485420228
0.20444321632385254,42.0,-0.6766000509262086
0.2356882095336914,52.0,-0.7178000569343568
0.2676842212677002,62.0,-0.7562000393867493
0.2994120121002197,69.0,-0.7968000411987305
0.3457961082458496,73.0,-0.832800042629242
0.3775320053100586,82.0,-0.8576000571250916
0.41651105880737305,74.0,-0.8856000721454621
0.4516124725341797,76.0,-0.8732000470161438
0.48451924324035645,88.0,-0.864400053024292
0.5157992839813232,93.0,-0.8648000478744508
0.5535831451416016,93.0,-0.8692000508308411
0.5792224407196045,89.0,-0.8768000483512879
0.6104648113250732,103.0,-0.8716000437736512
0.65348219871521,90.0,-0.8834000647068024
0.6904563903808594,100.0,-0.8856000542640686
0.7216641902923584,102.0,-0.8778000593185425
0.7529418468475342,99.0,-0.8550000548362733
0.7841792106628418,96.0,-0.8294000506401062
0.8153929710388184,93.0,-0.8000000596046448
0.8314681053161621,89.0,-0.756400066614151
0.8470120429992676,89.0,-0.7646000504493714
0.8943336009979248,85.0,-0.7270000457763672
0.9099903106689453,78.0,-0.6708000421524049
0.9453043937683105,70.0,-0.6178000450134278
0.9841651916503906,62.0,-0.5730000257492066
1.0012123584747314,53.0,-0.5152000308036805
1.0481586456298828,48.0,-0.46460003852844245
1.0691001415252686,43.0,-0.40600003004074103
1.1116769313812256,39.0,-0.3452000379562379
1.1429543495178223,33.0,-0.2990000247955322
1.174844741821289,30.0,-0.24179999828338627
1.2061257362365723,26.0,-0.18040001392364502
1.2373344898223877,20.0,-0.12920000553131117
1.269615888595581,17.0,-0.08100001811981206
1.3007285594940186,14.0,-0.02740001678466797
1.331969976425171,10.0,0.025799989700317383
1.3697264194488525,8.0,0.06319999694824219
1.4104804992675781,5.0,0.10039997100830078
1.445629596710205,4.0,0.1528000116348267
1.4787213802337646,1.0,0.18020000457763663
1.5195808410644531,-2.0,0.2305999994277954
1.5352823734283447,-3.0,0.2613999843597412
1.5700347423553467,-5.0,0.27300000190734863
1.6142501831054688,-6.0,0.3099999904632569
1.6454896926879883,-7.0,0.3170000076293944
1.6774685382843018,-8.0,0.3332000255584717
1.7088830471038818,-11.0,0.3562000036239623
1.739961862564087,-10.0,0.3538000106811523
1.7724359035491943,-10.0,0.3654000043869019
1.819303274154663,-10.0,0.36299998760223384
1.850581169128418,-10.0,0.36780002117156974
1.882683277130127,-10.0,0.35660002231597887
1.9139642715454102,-11.0,0.3564000129699707
1.9574642181396484,-10.0,0.3370000123977661
1.9929070472717285,-10.0,0.3312000036239624
2.0259106159210205,-9.0,0.296399998664856
2.072200059890747,-7.0,0.26740002632141113
2.082744836807251,-7.0,0.24220001697540283
2.0984065532684326,-7.0,0.24340000152587882
2.1144723892211914,-6.0,0.210200023651123
2.129613161087036,-4.0,0.16579997539520264
2.177388906478882,-3.0,0.13499999046325684
2.2088184356689453,-1.0,0.11100001335144039
2.239910840988159,1.0,0.06839995384216313
2.272704601287842,4.0,0.02319998741149898
2.303312063217163,7.0,-0.012400007247924894
2.3345582485198975,11.0,-0.04619998931884761
2.3727681636810303,14.0,-0.08340001106262207
2.3973989486694336,17.0,-0.1350000381469727
2.4452836513519287,21.0,-0.1666000366210938
2.475139617919922,26.0,-0.20680005550384517
2.5064237117767334,30.0,-0.24740002155303964
2.544633150100708,35.0,-0.27960002422332764
2.573129653930664,39.0,-0.32140002250671396
2.6002306938171387,43.0,-0.36060001850128187
2.6315107345581055,49.0,-0.4004000425338745
2.6731531620025635,54.0,-0.4268000364303589
2.710609197616577,58.0,-0.46180002689361577
2.741887092590332,62.0,-0.48460005521774296
2.773052215576172,64.0,-0.5128000378608704
2.8043372631073,69.0,-0.5378000378608704
2.8355464935302734,74.0,-0.5570000410079956
2.8828649520874023,76.0,-0.5740000247955322
2.914114475250244,78.0,-0.584600031375885
