"Constrain_x: [-640.0, 640.0, -0.8, 0.8], Constrain_y: [-1.5, 1.5, -0.3, -1.4], Posisjonering til lasten er 62,5 grade fra UR10, Y: -140 X: -55"
"Kp_x:0.5, Kp_y:0.5, Kd_x:0.1, Kd_y:0.1"
Time,X,Y
1.4618592262268066,-488.0,-0.7328000545501709
1.4956741333007812,-453.0,-0.7076000452041626
1.529923677444458,-399.0,-0.6662000417709351
1.5645835399627686,-344.0,-0.6222000479698182
1.5997695922851562,-281.0,-0.5682000517845154
1.6367080211639404,-225.0,-0.5098000407218933
1.6685872077941895,-174.0,-0.44600003957748413
1.70548677444458,-134.0,-0.38680000305175777
1.720447063446045,-117.0,-0.33190004825592045
1.7353925704956055,-95.0,-0.32980003356933607
1.7698588371276855,-59.0,-0.26360003948211674
1.8031761646270752,-30.0,-0.21440002918243417
1.819873571395874,-17.0,-0.14720001220703138
1.853290319442749,-7.0,-0.03780000209808354
1.8869524002075195,23.0,-0.013200020790100186
1.9201390743255615,53.0,0.014800000190734908
1.9525959491729736,71.0,0.07539997100830065
1.9854981899261475,85.0,0.12679996490478507
2.0188965797424316,95.0,0.17000000476837163
2.052323341369629,108.0,0.20559999942779528
2.08614182472229,117.0,0.23360002040863037
2.1200926303863525,127.0,0.2847999811172486
2.154404878616333,134.0,0.3085999965667725
2.187391519546509,142.0,0.3358000040054321
2.223337173461914,147.0,0.35160000324249263
2.254213809967041,151.0,0.34440000057220455
2.2881247997283936,155.0,0.3982000112533568
2.3283214569091797,157.0,0.4043999910354614
2.353059768676758,158.0,0.4118000268936157
2.3875045776367188,159.0,0.4092000007629395
2.4214911460876465,159.0,0.40380001068115234
2.454275131225586,157.0,0.40300002098083487
2.4886577129364014,156.0,0.3944000244140624
2.5238451957702637,153.0,0.39379999637603746
2.5580570697784424,149.0,0.3674000024795532
2.5928900241851807,144.0,0.34460000991821294
2.6265809535980225,139.0,0.3149999856948853
2.660914182662964,133.0,0.29719998836517325
2.695049285888672,125.0,0.2700000047683715
2.7302510738372803,117.0,0.22599999904632573
2.769760847091675,108.0,0.18900001049041748
2.799680471420288,99.0,0.14839999675750737
2.8325929641723633,88.0,0.110800004005432
2.8674991130828857,73.0,0.06179997920989977
2.9014453887939453,58.0,0.03259997367858891
2.9346816539764404,43.0,-0.013599967956543058
2.969120502471924,27.0,-0.06720001697540279
2.9859437942504883,20.0,-0.11460001468658443
